utc,terrestrial,thunderstorm,cosmic
2023-05-23 06:42:20,73.7,4.0,6.3
2023-05-23 06:42:40,73.85,3.25,5.65
2023-05-23 06:43:00,69.65,4.55,6.2
2023-05-23 06:43:20,72.65,4.65,6.0
2023-05-23 06:43:40,70.6,4.0,5.65
2023-05-23 06:44:00,71.0,4.15,5.4
2023-05-23 06:44:20,69.65,5.05,6.15
2023-05-23 06:44:40,75.4,3.95,6.9
2023-05-23 06:45:00,74.85,3.3,6.35
2023-05-23 06:45:20,70.85,3.35,5.55
2023-05-23 06:45:40,70.1,3.25,6.25
2023-05-23 06:46:00,70.15,3.75,5.7
2023-05-23 06:46:20,69.9,4.1,5.55
2023-05-23 06:46:40,72.7,3.25,5.6
2023-05-23 06:47:00,76.25,3.75,5.55
2023-05-23 06:47:20,71.95,4.4,6.1
2023-05-23 06:47:40,72.6,3.7,5.8
2023-05-23 06:48:00,76.3,3.7,5.3
2023-05-23 06:48:20,74.2,4.4,6.25
2023-05-23 06:48:40,73.45,3.95,5.7
2023-05-23 06:49:00,77.4,4.25,5.9
2023-05-23 06:49:20,77.45,3.5,5.0
2023-05-23 06:49:40,74.05,3.55,7.05
2023-05-23 06:50:00,77.2,3.6,6.0
2023-05-23 06:50:20,74.65,4.3,5.7
2023-05-23 06:50:40,73.3,3.9,7.2
2023-05-23 06:51:00,71.45,3.9,5.85
2023-05-23 06:51:20,75.5,3.55,5.7
2023-05-23 06:51:40,76.35,4.05,5.95
2023-05-23 06:52:00,75.7,3.8,6.2
2023-05-23 06:52:20,75.55,3.5,6.75
2023-05-23 06:52:40,77.1,3.9,6.15
2023-05-23 06:53:00,72.2,4.15,5.7
2023-05-23 06:53:20,71.85,3.45,6.35
2023-05-23 06:53:40,73.9,4.0,5.5
2023-05-23 06:54:00,74.6,3.6,6.0
2023-05-23 06:54:20,75.8,3.6,6.1
2023-05-23 06:54:40,78.45,3.85,6.25
2023-05-23 06:55:00,77.9,4.6,4.95
2023-05-23 06:55:20,75.75,3.4,7.0
2023-05-23 06:55:40,75.6,3.4,5.8
2023-05-23 06:56:00,76.8,4.65,6.25
2023-05-23 06:56:20,75.25,4.4,5.55
2023-05-23 06:56:40,75.1,4.1,5.35
2023-05-23 06:57:00,75.25,3.7,6.55
2023-05-23 06:57:20,80.2,3.95,6.6
2023-05-23 06:57:40,79.35,3.0,5.8
2023-05-23 06:58:00,76.9,4.1,5.55
2023-05-23 06:58:20,77.45,4.05,6.25
2023-05-23 06:58:40,79.25,4.35,6.25
2023-05-23 06:59:00,76.5,4.05,6.2
2023-05-23 06:59:20,77.95,3.75,6.3
2023-05-23 06:59:40,79.05,3.75,5.4
2023-05-23 07:00:00,74.8,4.1,5.45
2023-05-23 07:00:20,79.6,3.05,6.25
2023-05-23 07:00:40,79.65,4.5,6.45
2023-05-23 07:01:00,78.8,4.3,7.25
2023-05-23 07:01:20,77.05,4.4,5.0
2023-05-23 07:01:40,79.05,3.9,6.4
2023-05-23 07:02:00,78.4,4.0,6.05
2023-05-23 07:02:20,83.85,4.85,5.8
2023-05-23 07:02:40,79.95,5.0,6.5
2023-05-23 07:03:00,83.75,3.5,7.15
2023-05-23 07:03:20,83.0,4.85,5.45
2023-05-23 07:03:40,85.85,5.0,7.15
2023-05-23 07:04:00,86.2,4.75,5.6
2023-05-23 07:04:20,95.3,6.1,7.2
2023-05-23 07:04:40,108.55,8.15,6.5
2023-05-23 07:05:00,121.35,7.7,7.05
2023-05-23 07:05:20,139.0,9.7,6.35
2023-05-23 07:05:40,129.7,7.65,6.0
2023-05-23 07:06:00,82.5,4.25,6.8
2023-05-23 07:06:20,81.2,3.4,5.15
2023-05-23 07:06:40,83.15,3.5,5.4
2023-05-23 07:07:00,81.9,3.5,6.15
2023-05-23 07:07:20,82.75,4.6,5.65
2023-05-23 07:07:40,85.1,3.5,5.2
2023-05-23 07:08:00,87.7,4.2,5.55
2023-05-23 07:08:20,88.75,4.3,7.35
2023-05-23 07:08:40,88.7,4.2,5.35
2023-05-23 07:09:00,86.6,4.3,6.55
2023-05-23 07:09:20,89.0,4.2,5.65
2023-05-23 07:09:40,83.6,4.25,6.35
2023-05-23 07:10:00,86.45,4.7,6.35
2023-05-23 07:10:20,86.35,3.6,5.6
2023-05-23 07:10:40,86.7,4.2,6.35
2023-05-23 07:11:00,87.05,4.2,5.75
2023-05-23 07:11:20,90.2,4.05,4.8
2023-05-23 07:11:40,87.55,3.9,6.55
2023-05-23 07:12:00,89.95,4.25,5.55
2023-05-23 07:12:20,87.4,4.3,6.55
2023-05-23 07:12:40,85.9,4.3,6.2
2023-05-23 07:13:00,88.65,3.95,5.85
2023-05-23 07:13:20,83.85,4.2,5.5
2023-05-23 07:13:40,86.35,4.25,5.0
2023-05-23 07:14:00,89.25,4.45,5.45
2023-05-23 07:14:20,86.15,4.5,5.95
2023-05-23 07:14:40,83.1,4.15,6.85
2023-05-23 07:15:00,84.8,4.5,6.95
2023-05-23 07:15:20,82.3,4.5,5.85
2023-05-23 07:15:40,87.6,4.1,5.95
2023-05-23 07:16:00,87.05,4.25,6.55
2023-05-23 07:16:20,89.75,4.35,5.6
2023-05-23 07:16:40,87.3,4.1,5.6
2023-05-23 07:17:00,87.95,4.6,5.6
2023-05-23 07:17:20,86.4,3.75,5.5
2023-05-23 07:17:40,87.3,3.65,6.3
2023-05-23 07:18:00,88.75,4.6,7.05
2023-05-23 07:18:20,86.9,3.8,5.35
2023-05-23 07:18:40,87.35,3.3,5.55
2023-05-23 07:19:00,89.5,3.45,7.2
2023-05-23 07:19:20,85.75,4.4,6.35
2023-05-23 07:19:40,84.9,2.75,5.65
2023-05-23 07:20:00,89.2,3.7,6.0
2023-05-23 07:20:20,86.25,4.5,4.85
2023-05-23 07:20:40,87.3,4.1,5.75
2023-05-23 07:21:00,85.3,4.3,5.95
2023-05-23 07:21:20,89.15,4.35,5.65
2023-05-23 07:21:40,85.85,3.7,6.45
2023-05-23 07:22:00,84.0,3.2,5.55
2023-05-23 07:22:20,89.0,4.15,5.25
2023-05-23 07:22:40,85.05,4.5,6.7
2023-05-23 07:23:00,86.1,3.35,5.8
2023-05-23 07:23:20,84.75,4.35,6.0
2023-05-23 07:23:40,84.85,4.1,6.95
2023-05-23 07:24:00,83.35,3.85,5.25
2023-05-23 07:24:20,85.7,4.3,6.45
2023-05-23 07:24:40,86.2,4.15,6.9
2023-05-23 07:25:00,83.15,3.85,6.55
2023-05-23 07:25:20,87.65,3.65,6.3
2023-05-23 07:25:40,84.0,4.2,6.45
2023-05-23 07:26:00,85.2,2.95,7.2
2023-05-23 07:26:20,86.1,4.35,7.0
2023-05-23 07:26:40,80.1,4.9,5.15
2023-05-23 07:27:00,86.4,4.3,6.45
2023-05-23 07:27:20,85.75,3.35,5.45
2023-05-23 07:27:40,85.8,2.6,6.2
2023-05-23 07:28:00,85.4,3.15,5.45
2023-05-23 07:28:20,85.65,3.7,5.85
2023-05-23 07:28:40,86.15,3.5,5.9
2023-05-23 07:29:00,85.1,4.3,5.8
2023-05-23 07:29:20,85.6,4.25,5.7
2023-05-23 07:29:40,83.25,4.1,6.1
2023-05-23 07:30:00,81.4,3.0,6.35
2023-05-23 07:30:20,85.6,2.65,5.5
2023-05-23 07:30:40,79.35,4.8,5.6
