utc,terrestrial,thunderstorm,cosmic
2023-05-23 09:05:20,59.9,4.0,6.1
2023-05-23 09:05:40,60.2,3.95,6.45
2023-05-23 09:06:00,58.3,3.6,5.15
2023-05-23 09:06:20,57.2,3.65,7.25
2023-05-23 09:06:40,57.65,3.6,6.2
2023-05-23 09:07:00,60.7,4.5,5.8
2023-05-23 09:07:20,55.3,3.6,5.65
2023-05-23 09:07:40,60.6,3.15,6.25
2023-05-23 09:08:00,58.35,3.65,6.05
2023-05-23 09:08:20,56.9,4.0,4.95
2023-05-23 09:08:40,58.7,3.95,5.85
2023-05-23 09:09:00,61.7,4.6,5.85
2023-05-23 09:09:20,60.3,3.2,5.65
2023-05-23 09:09:40,58.15,4.0,6.15
2023-05-23 09:10:00,59.6,3.5,6.15
2023-05-23 09:10:20,60.7,3.7,6.3
2023-05-23 09:10:40,59.25,3.75,6.0
2023-05-23 09:11:00,56.9,4.65,6.05
2023-05-23 09:11:20,56.8,3.55,5.25
2023-05-23 09:11:40,59.9,4.05,5.35
2023-05-23 09:12:00,60.6,3.65,5.6
2023-05-23 09:12:20,57.5,3.9,5.55
2023-05-23 09:12:40,60.25,3.2,6.1
2023-05-23 09:13:00,59.8,3.15,6.35
2023-05-23 09:13:20,58.6,4.2,6.3
2023-05-23 09:13:40,59.5,3.7,6.15
2023-05-23 09:14:00,59.0,3.45,6.15
2023-05-23 09:14:20,55.1,4.05,4.55
2023-05-23 09:14:40,58.2,3.45,4.85
2023-05-23 09:15:00,55.05,3.3,6.6
2023-05-23 09:15:20,59.3,4.0,5.65
2023-05-23 09:15:40,56.45,4.2,6.3
2023-05-23 09:16:00,56.7,4.6,5.9
2023-05-23 09:16:20,58.45,4.1,5.95
2023-05-23 09:16:40,57.1,3.25,5.55
2023-05-23 09:17:00,58.7,3.45,4.95
2023-05-23 09:17:20,61.45,4.0,5.95
2023-05-23 09:17:40,56.8,3.8,6.0
2023-05-23 09:18:00,57.65,2.7,6.2
2023-05-23 09:18:20,54.25,3.75,5.8
2023-05-23 09:18:40,57.5,3.65,6.25
2023-05-23 09:19:00,57.05,4.15,6.1
2023-05-23 09:19:20,56.7,3.75,6.6
2023-05-23 09:19:40,58.6,4.15,5.4
2023-05-23 09:20:00,58.95,3.45,5.55
2023-05-23 09:20:20,18.0,1.15,2.1
