utc,total,terrestrial,cosmic,thunderstorm
2021-06-08 00:00:00,87.0,70.0,6.0,11.0
2021-06-08 00:00:01,67.0,56.0,6.0,5.0
2021-06-08 00:00:02,90.0,73.0,9.0,8.0
2021-06-08 00:00:03,68.0,59.0,2.0,7.0
2021-06-08 00:00:04,93.0,74.0,12.0,7.0
2021-06-08 00:00:05,62.0,50.0,6.0,6.0
2021-06-08 00:00:06,93.0,74.0,12.0,7.0
2021-06-08 00:00:07,68.0,59.0,4.0,5.0
2021-06-08 00:00:08,77.0,61.0,11.0,5.0
2021-06-08 00:00:09,91.0,82.0,9.0,0.0
2021-06-08 00:00:10,74.0,66.0,7.0,1.0
2021-06-08 00:00:11,73.0,68.0,4.0,1.0
2021-06-08 00:00:12,66.0,56.0,6.0,4.0
2021-06-08 00:00:13,73.0,63.0,7.0,3.0
2021-06-08 00:00:14,80.0,74.0,1.0,5.0
2021-06-08 00:00:15,68.0,61.0,5.0,2.0
2021-06-08 00:00:16,64.0,55.0,6.0,3.0
2021-06-08 00:00:17,76.0,67.0,6.0,3.0
2021-06-08 00:00:18,79.0,71.0,6.0,2.0
2021-06-08 00:00:19,82.0,71.0,8.0,3.0
2021-06-08 00:00:20,76.0,68.0,5.0,3.0
2021-06-08 00:00:21,61.0,52.0,3.0,6.0
2021-06-08 00:00:22,85.0,77.0,7.0,1.0
2021-06-08 00:00:23,80.0,69.0,9.0,2.0
2021-06-08 00:00:24,87.0,75.0,3.0,9.0
2021-06-08 00:00:25,71.0,62.0,5.0,4.0
2021-06-08 00:00:26,69.0,61.0,4.0,4.0
2021-06-08 00:00:27,85.0,72.0,10.0,3.0
2021-06-08 00:00:28,67.0,63.0,2.0,2.0
2021-06-08 00:00:29,80.0,72.0,7.0,1.0
2021-06-08 00:00:30,62.0,51.0,9.0,2.0
2021-06-08 00:00:31,68.0,59.0,6.0,3.0
2021-06-08 00:00:32,65.0,52.0,7.0,6.0
