utc,total,terrestrial,cosmic,thunderstorm
2021-08-05 00:01:49,124.0,115.0,8.0,1.0
2021-08-05 00:01:50,105.0,99.0,4.0,2.0
2021-08-05 00:01:51,121.0,107.0,8.0,6.0
2021-08-05 00:01:52,101.0,93.0,5.0,3.0
2021-08-05 00:01:53,89.0,77.0,6.0,6.0
2021-08-05 00:01:54,109.0,101.0,4.0,4.0
2021-08-05 00:01:55,125.0,117.0,5.0,3.0
2021-08-05 00:01:56,109.0,100.0,4.0,5.0
2021-08-05 00:01:57,86.0,83.0,3.0,0.0
2021-08-05 00:01:58,113.0,104.0,7.0,2.0
2021-08-05 00:01:59,82.0,75.0,5.0,2.0
2021-08-05 00:02:00,104.0,91.0,5.0,8.0
2021-08-05 00:02:01,104.0,95.0,6.0,3.0
2021-08-05 00:02:02,86.0,75.0,6.0,5.0
2021-08-05 00:02:03,91.0,85.0,5.0,1.0
2021-08-05 00:02:04,101.0,83.0,9.0,9.0
2021-08-05 00:02:05,98.0,90.0,3.0,5.0
2021-08-05 00:02:06,114.0,98.0,11.0,5.0
2021-08-05 00:02:07,110.0,103.0,3.0,4.0
2021-08-05 00:02:08,118.0,107.0,7.0,4.0
2021-08-05 00:02:09,104.0,93.0,5.0,6.0
2021-08-05 00:02:10,125.0,116.0,4.0,5.0
2021-08-05 00:02:11,119.0,104.0,8.0,7.0
2021-08-05 00:02:12,117.0,105.0,7.0,5.0
2021-08-05 00:02:13,87.0,80.0,4.0,3.0
2021-08-05 00:02:14,121.0,107.0,7.0,7.0
2021-08-05 00:02:15,112.0,103.0,5.0,4.0
2021-08-05 00:02:16,131.0,119.0,8.0,4.0
2021-08-05 00:02:17,90.0,83.0,7.0,0.0
2021-08-05 00:02:18,98.0,85.0,8.0,5.0
2021-08-05 00:02:19,106.0,90.0,10.0,6.0
2021-08-05 00:02:20,97.0,87.0,3.0,7.0
2021-08-05 00:02:21,106.0,99.0,5.0,2.0
2021-08-05 00:02:22,111.0,92.0,10.0,9.0
2021-08-05 00:02:23,107.0,99.0,5.0,3.0
2021-08-05 00:02:24,111.0,103.0,6.0,2.0
2021-08-05 00:02:25,97.0,87.0,6.0,4.0
2021-08-05 00:02:26,111.0,96.0,11.0,4.0
2021-08-05 00:02:27,99.0,90.0,6.0,3.0
2021-08-05 00:02:28,110.0,94.0,9.0,7.0
2021-08-05 00:02:29,96.0,86.0,7.0,3.0
2021-08-05 00:02:30,87.0,78.0,5.0,4.0
2021-08-05 00:02:31,106.0,97.0,5.0,4.0
2021-08-05 00:02:32,102.0,89.0,7.0,6.0
2021-08-05 00:02:33,99.0,92.0,3.0,4.0
2021-08-05 00:02:34,97.0,87.0,8.0,2.0
2021-08-05 00:02:35,98.0,86.0,6.0,6.0
2021-08-05 00:02:36,99.0,88.0,8.0,3.0
2021-08-05 00:02:37,89.0,79.0,7.0,3.0
2021-08-05 00:02:38,119.0,109.0,6.0,4.0
2021-08-05 00:02:39,96.0,86.0,7.0,3.0
2021-08-05 00:02:40,115.0,102.0,9.0,4.0
2021-08-05 00:02:41,117.0,101.0,9.0,7.0
2021-08-05 00:02:42,121.0,104.0,7.0,10.0
2021-08-05 00:02:43,100.0,94.0,2.0,4.0
2021-08-05 00:02:44,115.0,103.0,10.0,2.0
2021-08-05 00:02:45,121.0,112.0,6.0,3.0
2021-08-05 00:02:46,108.0,98.0,3.0,7.0
2021-08-05 00:02:47,95.0,87.0,7.0,1.0
2021-08-05 00:02:48,114.0,103.0,5.0,6.0
2021-08-05 00:02:49,97.0,85.0,7.0,5.0
2021-08-05 00:02:50,108.0,100.0,5.0,3.0
2021-08-05 00:02:51,93.0,75.0,9.0,9.0
2021-08-05 00:02:52,103.0,93.0,9.0,1.0
2021-08-05 00:02:53,109.0,97.0,6.0,6.0
2021-08-05 00:02:54,118.0,105.0,8.0,5.0
2021-08-05 00:02:55,95.0,82.0,10.0,3.0
2021-08-05 00:02:56,106.0,90.0,6.0,10.0
2021-08-05 00:02:57,108.0,102.0,4.0,2.0
2021-08-05 00:02:58,107.0,95.0,9.0,3.0
2021-08-05 00:02:59,102.0,90.0,7.0,5.0
2021-08-05 00:03:00,95.0,86.0,7.0,2.0
2021-08-05 00:03:01,119.0,105.0,13.0,1.0
2021-08-05 00:03:02,92.0,81.0,9.0,2.0
2021-08-05 00:03:03,103.0,90.0,7.0,6.0
2021-08-05 00:03:04,113.0,102.0,5.0,6.0
2021-08-05 00:03:05,110.0,101.0,5.0,4.0
2021-08-05 00:03:06,101.0,91.0,7.0,3.0
2021-08-05 00:03:07,97.0,89.0,3.0,5.0
2021-08-05 00:03:08,107.0,92.0,13.0,2.0
2021-08-05 00:03:09,104.0,95.0,6.0,3.0
2021-08-05 00:03:10,98.0,85.0,8.0,5.0
2021-08-05 00:03:11,106.0,98.0,6.0,2.0
2021-08-05 00:03:12,99.0,87.0,7.0,5.0
2021-08-05 00:03:13,117.0,107.0,6.0,4.0
2021-08-05 00:03:14,128.0,108.0,13.0,7.0
2021-08-05 00:03:15,109.0,97.0,8.0,4.0
